ozone,a,b,c,d,e,day,time
$60.9,36.9,555.6,0.0000,0.0000,0.0000,15/08/16,12:58:07
$64.2,36.9,555.8,0.0000,0.0000,0.0000,15/08/16,13:03:07
$63.0,36.9,555.8,0.0000,0.0000,0.0000,15/08/16,13:08:06
$58.8,36.9,555.7,0.0000,0.0000,0.0000,15/08/16,13:13:06
$61.0,36.9,555.7,0.0000,0.0000,0.0000,15/08/16,13:18:07
$61.1,36.9,555.8,0.0000,0.0000,0.0000,15/08/16,13:23:07
$63.0,36.8,555.7,0.0000,0.0000,0.0000,15/08/16,13:28:07
$65.7,36.9,555.8,0.0000,0.0000,0.0000,15/08/16,13:33:06
$66.7,36.8,555.6,0.0000,0.0000,0.0000,15/08/16,13:38:06
$67.6,36.8,555.6,0.0000,0.0000,0.0000,15/08/16,13:43:06
$68.2,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,13:48:07
$69.2,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,13:53:07
$71.0,36.8,555.3,0.0000,0.0000,0.0000,15/08/16,13:58:07
$71.2,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,14:03:06
$67.4,36.8,555.4,0.0000,0.0000,0.0000,15/08/16,14:08:06
$64.2,36.8,555.3,0.0000,0.0000,0.0000,15/08/16,14:13:07
$65.2,36.8,555.6,0.0000,0.0000,0.0000,15/08/16,14:18:07
$64.3,36.8,555.6,0.0000,0.0000,0.0000,15/08/16,14:23:07
$64.5,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,14:28:07
$65.6,36.8,555.6,0.0000,0.0000,0.0000,15/08/16,14:33:06
$66.0,36.8,555.6,0.0000,0.0000,0.0000,15/08/16,14:38:06
$62.7,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,14:43:07
$63.6,36.8,555.4,0.0000,0.0000,0.0000,15/08/16,14:48:07
$62.5,36.8,555.3,0.0000,0.0000,0.0000,15/08/16,14:53:07
$63.4,36.8,555.7,0.0000,0.0000,0.0000,15/08/16,14:58:07
$63.0,36.8,555.3,0.0000,0.0000,0.0000,15/08/16,15:03:06
$62.0,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,15:08:06
$62.1,36.8,555.4,0.0000,0.0000,0.0000,15/08/16,15:13:07
$62.1,36.8,555.7,0.0000,0.0000,0.0000,15/08/16,15:18:07
$62.1,36.8,555.3,0.0000,0.0000,0.0000,15/08/16,15:23:07
$62.5,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,15:28:06
$63.2,36.8,555.4,0.0000,0.0000,0.0000,15/08/16,15:33:06
$63.6,36.8,555.5,0.0000,0.0000,0.0000,15/08/16,15:38:06
